Building vocabulary...

--- Top 10 most frequent words (subsampling) ---
  'the   ' | count: 1061396 | discard prob: 98.7%
  'of    ' | count: 593677  | discard prob: 98.3%
  'and   ' | count: 416629  | discard prob: 98.0%
  'one   ' | count: 411764  | discard prob: 97.9%
  'in    ' | count: 372201  | discard prob: 97.8%
  'a     ' | count: 325873  | discard prob: 97.7%
  'to    ' | count: 316376  | discard prob: 97.6%
  'zero  ' | count: 264975  | discard prob: 97.4%
  'nine  ' | count: 250430  | discard prob: 97.3%
  'two   ' | count: 192644  | discard prob: 97.0%
--------------------------------------------------

--------------------------------------------------
Training config:
  Vocab size:     71290 tokens
  Embedding dim:  100
  Epochs:         5
  Batch size:     256
  Window size:    5
  Neg samples:    5
  Optimizer:      sgld
  Learning rate:  0.025
--------------------------------------------------
Epoch 1 | Batch  91000 | Loss: 2.5299 | LR: 0.024303 | Tokens/s: 31852 | Snapshots: 0
Epoch 1 | Batch  92000 | Loss: 2.5271 | LR: 0.024296 | Tokens/s: 31860 | Snapshots: 0
Epoch 1 | Batch  93000 | Loss: 2.5246 | LR: 0.024288 | Tokens/s: 31865 | Snapshots: 0
Epoch 1 | Batch  94000 | Loss: 2.5223 | LR: 0.024280 | Tokens/s: 31874 | Snapshots: 0
Epoch 1 | Batch  95000 | Loss: 2.5200 | LR: 0.024273 | Tokens/s: 31880 | Snapshots: 0
Epoch 1 | Batch  96000 | Loss: 2.5175 | LR: 0.024265 | Tokens/s: 31891 | Snapshots: 0
Epoch 1 | Batch  97000 | Loss: 2.5158 | LR: 0.024257 | Tokens/s: 31901 | Snapshots: 0
Epoch 1 | Batch  98000 | Loss: 2.5141 | LR: 0.024250 | Tokens/s: 31908 | Snapshots: 0
Epoch 1 | Batch  99000 | Loss: 2.5115 | LR: 0.024242 | Tokens/s: 31915 | Snapshots: 0
Epoch 1 | Batch 100000 | Loss: 2.5089 | LR: 0.024234 | Tokens/s: 31926 | Snapshots: 0
Epoch 1 | Batch 101000 | Loss: 2.5068 | LR: 0.024227 | Tokens/s: 31931 | Snapshots: 0
Epoch 1 | Batch 102000 | Loss: 2.5050 | LR: 0.024219 | Tokens/s: 31933 | Snapshots: 0
Epoch 1 | Batch 103000 | Loss: 2.5033 | LR: 0.024211 | Tokens/s: 31928 | Snapshots: 0
Epoch 1 | Batch 104000 | Loss: 2.5018 | LR: 0.024204 | Tokens/s: 31933 | Snapshots: 0
Epoch 1 | Batch 105000 | Loss: 2.4996 | LR: 0.024196 | Tokens/s: 31939 | Snapshots: 0
Epoch 1 | Batch 106000 | Loss: 2.4982 | LR: 0.024188 | Tokens/s: 31946 | Snapshots: 0
Epoch 1 | Batch 107000 | Loss: 2.4968 | LR: 0.024181 | Tokens/s: 31950 | Snapshots: 0
Epoch 1 | Batch 108000 | Loss: 2.4955 | LR: 0.024173 | Tokens/s: 31949 | Snapshots: 0
Epoch 1 | Batch 109000 | Loss: 2.4939 | LR: 0.024166 | Tokens/s: 31952 | Snapshots: 0
Epoch 1 | Batch 110000 | Loss: 2.4918 | LR: 0.024158 | Tokens/s: 31953 | Snapshots: 0
Epoch 1 | Batch 111000 | Loss: 2.4895 | LR: 0.024150 | Tokens/s: 31957 | Snapshots: 0
Epoch 1 | Batch 112000 | Loss: 2.4878 | LR: 0.024143 | Tokens/s: 31964 | Snapshots: 0
Epoch 1 | Batch 113000 | Loss: 2.4860 | LR: 0.024135 | Tokens/s: 31970 | Snapshots: 0
Epoch 1 | Batch 114000 | Loss: 2.4846 | LR: 0.024127 | Tokens/s: 31970 | Snapshots: 0
Epoch 1 | Batch 115000 | Loss: 2.4828 | LR: 0.024120 | Tokens/s: 31973 | Snapshots: 0
Epoch 1 | Batch 116000 | Loss: 2.4816 | LR: 0.024112 | Tokens/s: 31977 | Snapshots: 0
Epoch 1 | Batch 117000 | Loss: 2.4796 | LR: 0.024104 | Tokens/s: 31982 | Snapshots: 0
Epoch 1 | Batch 118000 | Loss: 2.4780 | LR: 0.024097 | Tokens/s: 31994 | Snapshots: 0
Epoch 1 | Batch 119000 | Loss: 2.4752 | LR: 0.024089 | Tokens/s: 32000 | Snapshots: 0
Epoch 1 | Batch 120000 | Loss: 2.4728 | LR: 0.024081 | Tokens/s: 32003 | Snapshots: 0
Epoch 1 | Batch 121000 | Loss: 2.4715 | LR: 0.024074 | Tokens/s: 32009 | Snapshots: 0
Epoch 1 | Batch 122000 | Loss: 2.4701 | LR: 0.024066 | Tokens/s: 32007 | Snapshots: 0
Epoch 1 | Batch 123000 | Loss: 2.4685 | LR: 0.024058 | Tokens/s: 32008 | Snapshots: 0
Epoch 1 | Batch 124000 | Loss: 2.4673 | LR: 0.024051 | Tokens/s: 32008 | Snapshots: 0
Epoch 1 | Batch 125000 | Loss: 2.4658 | LR: 0.024043 | Tokens/s: 32010 | Snapshots: 0
Epoch 1 | Batch 126000 | Loss: 2.4646 | LR: 0.024035 | Tokens/s: 32010 | Snapshots: 0
Epoch 1 | Batch 127000 | Loss: 2.4632 | LR: 0.024028 | Tokens/s: 32012 | Snapshots: 0
Epoch 1 | Batch 128000 | Loss: 2.4619 | LR: 0.024020 | Tokens/s: 32011 | Snapshots: 0
Epoch 1 | Batch 129000 | Loss: 2.4607 | LR: 0.024012 | Tokens/s: 32015 | Snapshots: 0
Epoch 1 | Batch 130000 | Loss: 2.4599 | LR: 0.024005 | Tokens/s: 32016 | Snapshots: 0

=== Epoch 1 summary ===
Time: 1045.9s | Loss: 2.4593 | Tokens/s: 31939 | Batches: 130489
--------------------------------------------------
Epoch 2 | Batch   1000 | Loss: 2.2902 | LR: 0.023993 | Tokens/s: 7969 | Snapshots: 0
Epoch 2 | Batch   2000 | Loss: 2.2707 | LR: 0.023986 | Tokens/s: 12006 | Snapshots: 0
Epoch 2 | Batch   3000 | Loss: 2.2800 | LR: 0.023978 | Tokens/s: 14414 | Snapshots: 0
Epoch 2 | Batch   4000 | Loss: 2.2780 | LR: 0.023970 | Tokens/s: 15991 | Snapshots: 0
Epoch 2 | Batch   5000 | Loss: 2.2800 | LR: 0.023963 | Tokens/s: 17223 | Snapshots: 1
Epoch 2 | Batch   6000 | Loss: 2.2827 | LR: 0.023955 | Tokens/s: 18152 | Snapshots: 1
Epoch 2 | Batch   7000 | Loss: 2.2828 | LR: 0.023947 | Tokens/s: 18799 | Snapshots: 1
Epoch 2 | Batch   8000 | Loss: 2.2822 | LR: 0.023940 | Tokens/s: 19277 | Snapshots: 1
Epoch 2 | Batch   9000 | Loss: 2.2812 | LR: 0.023932 | Tokens/s: 19684 | Snapshots: 1
Epoch 2 | Batch  10000 | Loss: 2.2803 | LR: 0.023924 | Tokens/s: 20037 | Snapshots: 2
Epoch 2 | Batch  11000 | Loss: 2.2805 | LR: 0.023917 | Tokens/s: 20345 | Snapshots: 2
Epoch 2 | Batch  12000 | Loss: 2.2800 | LR: 0.023909 | Tokens/s: 20596 | Snapshots: 2
Epoch 2 | Batch  13000 | Loss: 2.2772 | LR: 0.023901 | Tokens/s: 20957 | Snapshots: 2
Epoch 2 | Batch  14000 | Loss: 2.2783 | LR: 0.023894 | Tokens/s: 21241 | Snapshots: 2
Epoch 2 | Batch  15000 | Loss: 2.2771 | LR: 0.023886 | Tokens/s: 21516 | Snapshots: 3
Epoch 2 | Batch  16000 | Loss: 2.2781 | LR: 0.023878 | Tokens/s: 21793 | Snapshots: 3
Epoch 2 | Batch  17000 | Loss: 2.2774 | LR: 0.023871 | Tokens/s: 22038 | Snapshots: 3
Epoch 2 | Batch  18000 | Loss: 2.2776 | LR: 0.023863 | Tokens/s: 22231 | Snapshots: 3
Epoch 2 | Batch  19000 | Loss: 2.2689 | LR: 0.023856 | Tokens/s: 22394 | Snapshots: 3
